Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
1,2023,C,Sean Murphy,28,108,438,370,65,93,21,0,21,68,0,0,49,98,0.251,0.365,0.478,0.844,125,177,18,18,0,1,0,Right,No
2,2023,1B,Matt Olson,29,162,720,608,127,172,27,3,54,139,1,0,104,167,0.283,0.389,0.604,0.993,162,367,13,4,0,4,8,Left,No
3,2023,2B,Ozzie Albies,26,148,660,596,96,167,30,5,33,109,13,1,46,107,0.28,0.336,0.513,0.849,124,306,9,8,0,8,2,Right,Yes
4,2023,SS,Orlando Arcia,28,139,533,488,66,129,25,0,17,65,1,0,39,102,0.264,0.321,0.42,0.741,98,205,14,3,0,3,0,Right,No
5,2023,3B,Austin Riley,26,159,715,636,117,179,32,3,37,97,3,1,59,172,0.281,0.345,0.516,0.861,128,328,18,9,0,11,4,Right,No
6,2023,LF,Eddie Rosario,31,142,516,478,64,122,24,3,21,74,3,4,34,122,0.255,0.305,0.45,0.755,100,215,13,1,1,2,1,Left,No
7,2023,CF,Michael Harris II,22,138,539,505,76,148,33,3,18,57,20,4,25,101,0.293,0.331,0.477,0.808,114,241,8,5,1,3,1,Left,No
8,2023,RF,Ronald Acuna Jr.,25,159,735,643,149,217,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012,168,383,15,9,0,3,3,Right,No
9,2023,DH,Marcell Ozuna,32,144,592,530,84,145,29,1,40,100,0,0,57,134,0.274,0.346,0.558,0.905,138,296,9,3,0,2,1,Right,No
10,2023,C,Travis d'Arnaud,34,74,292,267,31,60,13,0,11,39,0,0,21,67,0.225,0.288,0.397,0.685,82,106,6,3,0,1,0,Right,No
11,2023,LF,Kevin Pillar,34,81,206,197,29,45,10,0,9,32,4,1,6,50,0.228,0.248,0.416,0.664,74,82,2,0,0,3,0,Right,No
12,2023,SS,Vaughn Grissom,22,23,80,75,5,21,3,1,0,9,0,1,2,15,0.28,0.313,0.347,0.659,78,26,2,2,0,1,0,Right,No
13,2023,CF,Sam Hilliard,29,40,78,72,15,17,5,0,3,6,4,0,6,33,0.236,0.295,0.431,0.725,92,31,1,0,0,0,0,Left,No
14,2023,IF,Nicky Lopez,28,25,72,65,13,18,3,0,1,12,2,0,5,10,0.277,0.333,0.369,0.703,89,24,0,1,0,1,0,Left,No
15,2023,CF,Eli White,29,6,17,14,1,1,0,0,0,0,0,0,2,7,0.071,0.235,0.071,0.307,-11,1,0,1,0,0,0,Right,No
16,2023,C,Chadwick Tromp,28,6,16,16,1,2,1,0,0,1,0,0,0,7,0.125,0.125,0.188,0.313,-17,3,0,0,0,0,0,Right,No
17,2023,OF,Forrest Wall,27,15,15,13,6,6,2,0,1,2,5,1,2,4,0.462,0.533,0.846,1.379,264,11,0,0,0,0,0,Left,No
18,2023,SS,Ehire Adrianza,33,5,11,10,0,0,0,0,0,0,0,0,1,4,0.0,0.091,0.0,0.091,-72,0,0,0,0,0,0,Right,Yes
19,2023,UT,Luke Williams,26,7,9,9,1,0,0,0,0,0,3,0,0,4,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
20,2023,SS,Braden Shewmake,25,2,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
21,2023,DH,Charlie Culberson,34,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,443,1,0,0,0,0,0,Right,No
22,2023,,Nick Solak,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
23,2023,P,Kolby Allard,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
24,2023,P,Michael Soroka,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
25,2023,P,Max Fried,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
26,2023,P,Dylan Dodd,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
27,2023,P,Collin McHugh,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
28,2023,P,Darius Vines,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
29,2023,P,Lucas Luetge,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
30,2023,P,Michael Tonkin,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
31,2023,P,Jared Shuster,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
32,2023,P,Pierce Johnson,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
33,2023,P,Bryce Elder,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
34,2023,P,Joe Jiménez,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
35,2023,P,Allan Winans,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
36,2023,P,Danny Young,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
37,2023,P,Jackson Stephens,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
38,2023,P,Dylan Lee,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
39,2023,P,Taylor Hearn,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
40,2023,P,Ben Heller,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
41,2023,P,AJ Smith-Shawver,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
42,2023,P,Kirby Yates,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
43,2023,P,Raisel Iglesias,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
44,2023,P,Brad Hand,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
45,2023,P,A.J. Minter,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
46,2023,P,Yonny Chirinos,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
47,2023,P,Spencer Strider,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
48,2023,P,Nick Anderson,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
49,2023,P,Kyle Wright,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
50,2023,P,Jesse Chavez,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
51,2023,P,Dereck Rodríguez,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
52,2023,P,Daysbel Hernández,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
53,2023,P,Charlie Morton,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,2022,C,Travis d'Arnaud,33,107,426,396,61,106,25,1,18,60,0,0,19,90,0.268,0.319,0.472,0.791,117,187,12,11,0,0,0,Right,No
2,2022,1B,Matt Olson,28,162,699,616,86,148,44,0,34,103,0,0,75,170,0.24,0.325,0.477,0.802,120,294,13,4,0,4,6,Left,No
3,2022,2B,Ozzie Albies,25,64,269,247,36,61,16,0,8,35,3,5,16,47,0.247,0.294,0.409,0.703,93,101,0,2,0,4,0,Right,Yes
4,2022,SS,Dansby Swanson,28,162,696,640,99,177,32,1,25,96,18,7,49,182,0.277,0.329,0.447,0.776,114,286,12,3,0,4,0,Right,No
5,2022,3B,Austin Riley,25,159,693,615,90,168,39,2,38,93,2,0,57,168,0.273,0.349,0.528,0.878,140,325,13,17,0,4,1,Right,No
6,2022,LF,Eddie Rosario,30,80,270,250,27,53,12,1,5,24,3,0,17,68,0.212,0.259,0.328,0.587,62,82,3,0,0,3,0,Left,No
7,2022,CF,Michael Harris II,21,114,441,414,75,123,27,3,19,64,20,2,21,107,0.297,0.339,0.514,0.853,133,213,7,5,1,0,0,Left,No
8,2022,RF,Ronald Acuna Jr.,24,119,533,467,71,124,24,0,15,50,29,11,53,126,0.266,0.351,0.413,0.764,112,193,8,10,0,3,4,Right,No
9,2022,DH,Marcell Ozuna,31,124,507,470,56,106,19,0,23,56,2,1,31,122,0.226,0.274,0.413,0.687,88,194,12,2,0,4,0,Right,No
10,2022,C,William Contreras,24,97,376,334,51,93,14,1,20,45,2,0,39,104,0.278,0.354,0.506,0.86,136,169,5,1,0,2,1,Right,No
11,2022,OF,Adam Duvall,33,86,315,287,39,61,16,1,12,36,0,2,21,101,0.213,0.276,0.401,0.677,86,115,2,5,0,2,0,Right,No
12,2022,2B,Orlando Arcia,27,67,234,209,25,51,9,0,9,30,0,0,21,51,0.244,0.316,0.416,0.733,102,87,7,2,0,2,0,Right,No
13,2022,OF,Robbie Grossman,32,46,157,138,16,30,6,0,5,22,3,1,18,39,0.217,0.306,0.37,0.675,87,51,1,0,0,1,0,Right,Yes
14,2022,2B,Vaughn Grissom,21,41,156,141,24,41,6,0,5,18,5,2,11,34,0.291,0.353,0.44,0.792,119,62,0,3,0,1,1,Right,No
15,2022,RF,Travis Demeritte,27,26,96,89,9,19,2,0,3,6,0,0,6,32,0.213,0.26,0.337,0.597,65,30,2,0,0,1,0,Right,No
16,2022,OF,Guillermo Heredia,31,74,82,76,12,12,3,1,3,8,0,0,6,32,0.158,0.22,0.342,0.562,53,26,1,0,0,0,0,Right,No
17,2022,DH,Alex Dickerson,32,13,36,33,3,4,0,0,1,2,0,0,3,9,0.121,0.194,0.212,0.407,13,7,3,0,0,0,0,Left,No
18,2022,2B,Robinson Canó,39,9,27,26,1,4,1,0,0,0,0,0,1,4,0.154,0.185,0.192,0.377,6,5,2,0,0,0,0,Left,No
19,2022,2B,Phil Gosselin,33,12,24,23,4,6,0,0,0,0,0,0,1,6,0.261,0.292,0.261,0.553,56,6,0,0,0,0,0,Right,No
20,2022,C,Manny Piña,35,5,17,14,1,2,0,0,0,2,0,0,1,1,0.143,0.235,0.143,0.378,9,2,0,1,0,1,0,Right,No
21,2022,IF,Ehire Adrianza,32,6,16,13,3,2,1,0,0,0,0,0,3,3,0.154,0.313,0.231,0.543,55,3,0,0,0,0,0,Right,Yes
22,2022,DH,Mike Ford,29,5,8,7,0,0,0,0,0,0,0,0,1,2,0.0,0.125,0.0,0.125,-61,0,0,0,0,0,0,Left,No
23,2022,C,Chadwick Tromp,27,1,4,4,0,3,2,0,0,3,0,0,0,0,0.75,0.75,1.25,2.0,444,5,0,0,0,0,0,Right,No
24,2022,2B,Rylan Bannon,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
25,2022,P,Tucker Davidson,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
26,2022,P,Max Fried,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
27,2022,P,Sean Newcomb,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
28,2022,P,William Woods,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
29,2022,P,Collin McHugh,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
30,2022,P,Tyler Matzek,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
31,2022,P,Bryce Elder,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
32,2022,P,Jake Odorizzi,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
33,2022,P,Jay Jackson,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
34,2022,P,Jesus Cruz,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
35,2022,P,Danny Young,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
36,2022,P,Jackson Stephens,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
37,2022,P,Dylan Lee,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
38,2022,P,Kirby Yates,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
39,2022,P,Kenley Jansen,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,Yes
40,2022,P,Raisel Iglesias,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
41,2022,P,A.J. Minter,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
42,2022,P,Will Smith,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
43,2022,P,Tyler Thornburg,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
44,2022,P,Spencer Strider,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
45,2022,P,Kyle Muller,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
46,2022,P,Kyle Wright,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
47,2022,P,Silvino Bracho,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
48,2022,P,Huascar Ynoa,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
49,2022,P,Jesse Chavez,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
50,2022,P,Ian Anderson,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
51,2022,P,Freddy Tarnok,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
52,2022,P,Darren O'Day,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
53,2022,P,Charlie Morton,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,2021,C,Travis d'Arnaud,32,60,229,209,21,46,14,0,7,26,0,0,17,53,0.22,0.284,0.388,0.671,76,81,7,2,0,1,0,Right,No
2,2021,1B,Freddie Freeman,31,159,695,600,120,180,25,2,31,83,8,3,85,107,0.3,0.393,0.503,0.896,136,302,11,8,0,2,15,Left,No
3,2021,2B,Ozzie Albies,24,156,686,629,103,163,40,7,30,106,20,4,47,128,0.259,0.31,0.488,0.799,108,307,4,3,0,7,2,Right,Yes
4,2021,SS,Dansby Swanson,27,160,653,588,78,146,33,2,27,88,9,3,52,167,0.248,0.311,0.449,0.76,99,264,7,5,1,7,4,Right,No
5,2021,3B,Austin Riley,24,160,662,590,91,179,33,1,33,107,0,1,52,168,0.303,0.367,0.531,0.898,135,313,11,12,0,8,2,Right,No
6,2021,LF,Marcell Ozuna,30,48,208,188,21,40,6,0,7,26,0,0,19,46,0.213,0.288,0.356,0.645,70,67,6,1,0,0,0,Right,No
7,2021,CF,Guillermo Heredia,30,120,347,305,46,67,26,0,5,26,0,0,32,81,0.22,0.311,0.354,0.665,77,108,5,9,0,1,3,Right,No
8,2021,RF,Ronald Acuna Jr.,23,82,360,297,72,84,19,1,24,52,17,6,49,85,0.283,0.394,0.596,0.99,158,177,0,9,0,5,2,Right,No
9,2021,RF,Jorge Soler,29,55,242,208,36,56,11,0,14,33,0,0,29,45,0.269,0.358,0.524,0.882,131,109,3,1,0,2,0,Right,No
10,2021,OF,Adam Duvall,32,55,216,199,26,45,7,1,16,45,0,0,14,69,0.226,0.287,0.513,0.8,106,102,3,3,0,0,1,Right,No
11,2021,UT,Ehire Adrianza,31,109,209,182,32,45,9,2,5,28,0,0,21,42,0.247,0.327,0.401,0.728,92,73,4,2,1,3,0,Right,Yes
12,2021,OF,Joc Pederson,29,64,194,173,20,43,8,1,7,22,0,0,17,43,0.249,0.325,0.428,0.752,98,74,4,3,0,1,0,Left,No
13,2021,C,William Contreras,23,52,185,163,19,35,4,1,8,23,0,0,19,54,0.215,0.303,0.399,0.701,85,65,3,2,0,1,1,Right,No
14,2021,LF,Abraham Almonte,32,64,175,148,20,32,12,0,5,19,1,1,26,38,0.216,0.331,0.399,0.73,93,59,2,0,0,1,0,Right,Yes
15,2021,LF,Eddie Rosario,29,33,106,96,13,26,4,2,7,16,2,1,9,14,0.271,0.33,0.573,0.903,134,55,1,0,0,1,0,Left,No
16,2021,C,Kevan Smith,33,30,101,91,6,15,3,0,0,3,0,0,10,29,0.165,0.248,0.198,0.445,21,18,3,0,0,0,3,Right,No
17,2021,CF,Ender Inciarte,30,52,89,79,11,17,2,0,2,10,1,0,7,22,0.215,0.276,0.316,0.592,57,25,1,0,2,1,0,Left,No
18,2021,C,Stephen Vogt,36,26,87,78,7,13,0,0,2,8,0,0,8,20,0.167,0.241,0.244,0.485,30,19,0,0,0,1,1,Left,No
19,2021,DH,Pablo Sandoval,34,69,86,73,11,13,0,0,4,11,0,0,11,25,0.178,0.302,0.342,0.645,71,25,2,2,0,0,0,Right,Yes
20,2021,UT,Orlando Arcia,26,32,78,70,9,15,3,0,2,13,1,0,7,16,0.214,0.282,0.343,0.625,65,24,2,0,0,1,1,Right,No
21,2021,CF,Cristian Pache,22,22,68,63,6,7,3,0,1,4,0,0,2,25,0.111,0.152,0.206,0.358,-6,13,1,1,2,0,0,Right,No
22,2021,C,Alex Jackson,25,10,28,23,2,1,0,0,0,0,0,0,2,13,0.043,0.214,0.043,0.258,-25,1,0,3,0,0,1,Right,No
23,2021,IF,Johan Camargo,27,15,18,16,1,0,0,0,0,0,0,0,2,6,0.0,0.111,0.0,0.111,-66,0,0,0,0,0,0,Right,Yes
24,2021,C,Jonathan Lucroy,35,2,9,5,2,1,0,0,0,1,0,0,3,2,0.2,0.5,0.2,0.7,98,1,0,0,1,0,0,Right,No
25,2021,C,Jeff Mathis,38,3,9,9,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
26,2021,DH,Sean Kazmar Jr.,36,3,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,0,0,0,0,Right,No
27,2021,P,Max Fried,27,31,67,55,7,15,3,0,0,5,0,0,4,18,0.273,0.322,0.327,0.649,74,18,0,0,8,0,0,Left,No
28,2021,P,Charlie Morton,37,31,62,55,5,7,1,0,0,1,0,0,0,31,0.127,0.127,0.145,0.273,-28,8,0,0,7,0,0,Right,No
29,2021,P,Drew Smyly,32,29,43,41,0,3,0,0,0,0,0,0,0,19,0.073,0.073,0.073,0.146,-61,3,0,0,2,0,0,Left,No
30,2021,P,Ian Anderson,23,22,41,37,0,2,1,0,0,0,0,0,1,29,0.054,0.079,0.081,0.16,-57,3,0,0,3,0,0,Right,No
31,2021,P,Huascar Ynoa,23,18,32,32,3,7,1,0,2,6,0,0,0,15,0.219,0.219,0.438,0.656,68,14,0,0,0,0,0,Right,No
32,2021,P,Touki Toussaint,25,10,18,15,1,0,0,0,0,0,0,0,2,9,0.0,0.118,0.0,0.118,-65,0,0,0,1,0,0,Right,No
33,2021,P,Bryse Wilson,23,8,13,12,0,1,0,0,0,0,0,0,0,5,0.083,0.154,0.083,0.237,-34,1,0,1,0,0,0,Right,No
34,2021,P,Kyle Muller,23,9,13,11,0,1,0,0,0,0,0,0,1,7,0.091,0.167,0.091,0.258,-28,1,0,0,1,0,0,Right,No
35,2021,P,Tucker Davidson,25,4,6,6,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
36,2021,P,Josh Tomlin,36,35,5,3,0,1,0,0,0,0,0,0,1,1,0.333,0.5,0.333,0.833,129,1,0,0,1,0,0,Right,No
37,2021,P,Kyle Wright,25,2,3,3,1,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1.0,156,2,0,0,0,0,0,Right,No
38,2021,P,Jesse Chavez,37,30,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
39,2021,P,Sean Newcomb,28,29,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0,Left,No
40,2021,P,Jacob Webb,27,32,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
41,2021,P,Spencer Strider,22,2,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0,Right,No
42,2021,P,A.J. Minter,27,57,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
43,2021,P,Edgar Santana,29,38,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
44,2021,P,Ty Tice,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
45,2021,P,Jay Flaa,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
46,2021,P,Luke Jackson,29,66,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
47,2021,P,Richard Rodríguez,31,26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
48,2021,P,Tyler Matzek,30,65,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
49,2021,P,Dylan Lee,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
50,2021,P,Carl Edwards Jr.,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
51,2021,P,Jesse Biddle,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
52,2021,P,Chris Martin,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
53,2021,P,Will Smith,31,66,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
54,2021,P,Grant Dayton,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
55,2021,P,Nate Jones,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
56,2021,P,Shane Greene,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,2020,C,Travis d'Arnaud,31,44,184,165,19,53,8,0,9,34,1,0,16,50,0.321,0.386,0.533,0.919,139,88,8,2,0,1,0,Right,No
2,2020,1B,Freddie Freeman,30,60,262,214,51,73,23,1,13,53,2,0,45,37,0.341,0.462,0.64,1.102,187,137,6,3,0,0,7,Left,No
3,2020,2B,Ozzie Albies,23,29,124,118,21,32,5,0,6,19,3,1,5,30,0.271,0.306,0.466,0.773,100,55,0,1,0,0,0,Right,Yes
4,2020,SS,Dansby Swanson,26,60,264,237,49,65,15,0,10,35,5,0,22,71,0.274,0.345,0.464,0.809,111,110,0,4,0,1,0,Right,No
5,2020,3B,Austin Riley,23,51,206,188,24,45,7,1,8,27,0,0,16,49,0.239,0.301,0.415,0.716,86,78,5,1,0,1,1,Right,No
6,2020,LF,Adam Duvall,31,57,209,190,34,45,8,0,16,33,0,0,15,54,0.237,0.301,0.532,0.833,114,101,2,3,0,1,0,Right,No
7,2020,CF,Ender Inciarte,29,46,131,116,17,22,2,1,1,10,4,1,12,25,0.19,0.262,0.25,0.512,36,29,0,0,1,2,0,Left,No
8,2020,RF,Nick Markakis,36,37,141,130,15,33,15,0,1,15,0,1,10,23,0.254,0.312,0.392,0.704,85,51,5,1,0,0,0,Left,No
9,2020,DH,Marcell Ozuna,29,60,267,228,38,77,14,0,18,56,0,0,38,60,0.338,0.431,0.636,1.067,177,145,3,0,0,1,3,Right,No
10,2020,OF,Ronald Acuna Jr.,22,46,202,160,46,40,11,0,14,29,8,1,38,60,0.25,0.406,0.581,0.987,156,93,3,4,0,0,2,Right,No
11,2020,IF,Johan Camargo,26,35,127,120,16,24,8,0,4,9,0,0,6,35,0.2,0.244,0.367,0.611,58,44,1,1,0,0,0,Right,Yes
